2025-12-29T00:07:51.679979300 INFO hi im from cid
2025-12-29T00:21:42.364416500 INFO Application running smoothly 1
2025-12-29T00:21:42.375081500 INFO Application running smoothly 2
2025-12-29T00:21:42.375081500 INFO Application running smoothly 3
2025-12-29T00:21:42.375081500 INFO Application running smoothly 4
2025-12-29T00:21:42.375081500 INFO Application running smoothly 5
2025-12-29T00:21:42.375081500 INFO Application running smoothly 6
2025-12-29T00:21:42.375081500 INFO Application running smoothly 7
2025-12-29T00:21:42.375081500 INFO Application running smoothly 8
2025-12-29T00:21:42.375081500 INFO Application running smoothly 9
2025-12-29T00:21:42.375081500 INFO Application running smoothly 10
2025-12-29T00:21:42.375081500 INFO Application running smoothly 11
2025-12-29T00:21:42.375081500 INFO Application running smoothly 12
2025-12-29T00:21:42.375081500 INFO Application running smoothly 13
2025-12-29T00:21:42.375081500 INFO Application running smoothly 14
2025-12-29T00:21:42.375081500 INFO Application running smoothly 15
2025-12-29T00:21:42.375081500 INFO Application running smoothly 16
2025-12-29T00:21:42.375081500 INFO Application running smoothly 17
2025-12-29T00:21:42.375081500 INFO Application running smoothly 18
2025-12-29T00:21:42.375081500 INFO Application running smoothly 19
2025-12-29T00:21:42.375081500 INFO Application running smoothly 20
2025-12-29T00:21:42.375081500 INFO Application running smoothly 21
2025-12-29T00:21:42.375081500 INFO Application running smoothly 22
2025-12-29T00:21:42.375081500 INFO Application running smoothly 23
2025-12-29T00:21:42.375081500 INFO Application running smoothly 24
2025-12-29T00:21:42.375081500 INFO Application running smoothly 25
2025-12-29T00:21:42.375081500 WARN Low memory warning 1
2025-12-29T00:21:42.377848600 WARN Low memory warning 2
2025-12-29T00:21:42.377848600 WARN Low memory warning 3
2025-12-29T00:21:42.377848600 WARN Low memory warning 4
2025-12-29T00:21:42.377848600 WARN Low memory warning 5
2025-12-29T00:21:42.377848600 WARN Low memory warning 6
2025-12-29T00:21:42.377848600 WARN Low memory warning 7
2025-12-29T00:21:42.377848600 WARN Low memory warning 8
2025-12-29T00:21:42.377848600 WARN Low memory warning 9
2025-12-29T00:21:42.377848600 WARN Low memory warning 10
2025-12-29T00:21:42.377848600 WARN Low memory warning 11
2025-12-29T00:21:42.377848600 WARN Low memory warning 12
2025-12-29T00:21:42.377848600 WARN Low memory warning 13
2025-12-29T00:21:42.377848600 WARN Low memory warning 14
2025-12-29T00:21:42.377848600 WARN Low memory warning 15
2025-12-29T00:21:42.377848600 ERROR Invalid input detected 1
2025-12-29T00:21:42.377848600 ERROR Invalid input detected 2
2025-12-29T00:21:42.377848600 ERROR Invalid input detected 3
2025-12-29T00:21:42.377848600 ERROR Invalid input detected 4
2025-12-29T00:21:42.377848600 ERROR Invalid input detected 5
2025-12-29T00:21:42.377848600 ERROR Invalid input detected 6
2025-12-29T00:21:42.377848600 ERROR Invalid input detected 7
2025-12-29T00:21:42.377848600 ERROR Invalid input detected 8
2025-12-29T00:21:42.377848600 ERROR Invalid input detected 9
2025-12-29T00:21:42.377848600 ERROR Invalid input detected 10
